"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X230","2019-08-14 00:00:00","29.000","152.000","2.800","26.200","0.930","1002.000","-99.000","64.000","-99.000","-99.000","-99.000","28.800","","23.700",""
"C0B010","2019-08-14 00:00:00","38.000","209.000","2.400","28.800","0.800","996.100","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","26.100",""
"C0R490","2019-08-14 00:00:00","49.000","6.000","1.900","26.300","0.960","998.600","-99.000","158.000","-99.000","-99.000","-99.000","29.500","","24.400",""
"C0V440","2019-08-14 00:00:00","27.000","107.000","0.900","26.100","0.900","1000.700","-99.000","160.500","-99.000","-99.000","-99.000","30.400","","24.500",""
"C0SA40","2019-08-14 00:00:00","200.000","0.000","0.100","27.200","0.930","982.100","-99.000","2.000","-99.000","-99.000","-99.000","34.400","","25.500",""
"C0Z280","2019-08-14 00:00:00","224.000","200.000","1.000","26.200","0.930","979.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.700",""
"C0Z070","2019-08-14 00:00:00","247.000","140.000","0.400","26.100","0.980","976.000","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","24.600",""
"C0T9N0","2019-08-14 00:00:00","261.000","159.000","0.800","26.700","0.930","975.300","-99.000","0.500","-99.000","-99.000","-99.000","33.800","","25.100",""
"C0K470","2019-08-14 00:00:00","97.000","107.000","0.300","25.700","0.990","992.900","-99.000","75.000","-99.000","-99.000","-99.000","30.100","","22.800",""
"C0V650","2019-08-14 00:00:00","28.000","122.000","2.600","26.500","0.990","1002.700","-99.000","118.000","-99.000","-99.000","-99.000","28.200","","24.700",""
"C0H9C0","2019-08-14 00:00:00","3402.000","306.000","1.400","8.700","0.960","675.000","-99.000","27.500","-99.000","-99.000","-99.000","11.500","","7.000",""
"C0U780","2019-08-14 00:00:00","15.000","267.000","0.800","28.100","0.820","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.400",""
"C0U760","2019-08-14 00:00:00","22.000","0.000","0.000","25.700","0.990","1001.900","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","24.900",""
"C0X290","2019-08-14 00:00:00","10.000","162.000","2.500","27.200","0.900","1002.800","-99.000","49.500","-99.000","-99.000","-99.000","28.500","","23.700",""
"C0R420","2019-08-14 00:00:00","504.000","329.000","0.900","23.400","-99.000","944.500","-99.000","105.000","-99.000","-99.000","-99.000","26.200","","21.600",""
"C0E830","2019-08-14 00:00:00","37.000","199.000","2.600","28.800","0.800","998.800","-99.000","2.500","-99.000","-99.000","-99.000","31.000","","25.600",""
"C0K330","2019-08-14 00:00:00","38.000","181.000","0.700","26.700","0.870","999.100","-99.000","185.000","-99.000","-99.000","-99.000","28.100","","23.300",""
"C0M660","2019-08-14 00:00:00","40.000","171.000","2.000","27.300","0.840","999.800","-99.000","120.000","-99.000","-99.000","-99.000","28.900","","23.900",""
"C0D580","2019-08-14 00:00:00","120.000","0.000","0.000","-99.000","0.970","989.300","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R640","2019-08-14 00:00:00","21.000","101.000","2.200","28.100","0.900","1002.700","-99.000","164.000","-99.000","-99.000","-99.000","29.600","","24.800",""
"C0E810","2019-08-14 00:00:00","53.000","203.000","1.500","27.100","0.880","997.500","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","25.300",""
"C0G830","2019-08-14 00:00:00","27.000","159.000","1.800","27.100","0.990","999.200","-99.000","164.500","-99.000","-99.000","-99.000","28.200","","23.200",""
"C0A550","2019-08-14 00:00:00","422.000","0.000","0.000","22.500","1.000","957.900","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","22.400",""
"C0G750","2019-08-14 00:00:00","31.000","163.000","0.900","26.800","0.890","1001.100","-99.000","140.000","-99.000","-99.000","-99.000","27.800","","23.100",""
"C0Z270","2019-08-14 00:00:00","343.000","218.000","2.700","25.700","0.910","966.100","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","24.500",""
"C0UA30","2019-08-14 00:00:00","1397.000","0.000","0.200","20.300","0.990","855.700","-99.000","0.000","-99.000","-99.000","-99.000","26.300","","19.400",""
"C0I080","2019-08-14 00:00:00","536.000","0.000","0.000","24.000","0.940","948.300","-99.000","21.000","-99.000","-99.000","-99.000","28.900","","22.100",""
"C0UA00","2019-08-14 00:00:00","392.000","0.000","0.200","24.200","0.990","961.100","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","22.400",""
"C0AD40","2019-08-14 00:00:00","32.000","166.000","1.300","26.500","0.860","999.400","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","25.900",""
"C0S660","2019-08-14 00:00:00","794.000","209.000","0.700","22.700","0.920","919.700","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","21.600",""
"C0M640","2019-08-14 00:00:00","155.000","152.000","0.700","25.900","0.910","986.700","-99.000","91.500","-99.000","-99.000","-99.000","29.800","","23.100",""
"C0UA10","2019-08-14 00:00:00","1711.000","306.000","1.100","16.100","1.000","828.000","-99.000","0.000","-99.000","-99.000","-99.000","24.100","","15.700",""
"C0V770","2019-08-14 00:00:00","26.000","75.000","1.400","26.800","0.980","1001.200","-99.000","120.000","-99.000","-99.000","-99.000","29.300","","24.800",""
"C0E730","2019-08-14 00:00:00","26.000","207.000","0.700","29.000","0.770","998.700","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","25.500",""
"C0V810","2019-08-14 00:00:00","32.000","103.000","1.400","27.900","0.890","999.400","-99.000","-99.000","-99.000","-99.000","-99.000","28.500","","25.100",""
"C0A9C0","2019-08-14 00:00:00","35.000","1.000","2.100","29.200","0.750","999.400","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","26.400",""
"C0X310","2019-08-14 00:00:00","9.000","130.000","1.500","26.800","0.910","1003.700","-99.000","40.500","-99.000","-99.000","-99.000","28.600","","23.700",""
"C0K280","2019-08-14 00:00:00","23.000","194.000","1.800","26.900","0.920","1003.300","-99.000","98.500","-99.000","-99.000","-99.000","28.300","","24.000",""
"C0M650","2019-08-14 00:00:00","20.000","148.000","1.700","26.900","0.890","1001.900","-99.000","81.500","-99.000","-99.000","-99.000","28.700","","23.900",""
"C0S910","2019-08-14 00:00:00","212.000","284.000","5.800","26.600","0.920","981.200","-99.000","0.000","11.100","300.000","","29.100","","25.700",""
"C0D570","2019-08-14 00:00:00","15.000","207.000","0.800","28.000","0.860","1001.300","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","25.400",""
"C0M710","2019-08-14 00:00:00","15.000","155.000","3.700","27.400","0.890","1002.300","-99.000","71.500","-99.000","-99.000","-99.000","28.800","","24.700",""
"C0V490","2019-08-14 00:00:00","20.000","94.000","0.900","28.200","0.990","1002.100","-99.000","39.500","-99.000","-99.000","-99.000","29.400","","25.400",""
"C0E870","2019-08-14 00:00:00","34.000","210.000","1.400","28.500","0.780","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.900",""
"C0M800","2019-08-14 00:00:00","440.000","73.000","0.300","22.800","0.960","957.200","-99.000","56.000","-99.000","-99.000","-99.000","28.600","","21.800",""
"C0A570","2019-08-14 00:00:00","360.000","94.000","0.500","22.700","0.950","964.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","22.500",""
"C0S790","2019-08-14 00:00:00","236.000","287.000","2.400","25.700","0.870","979.100","-99.000","1.000","-99.000","-99.000","-99.000","31.400","","24.500",""
"C0D590","2019-08-14 00:00:00","143.000","230.000","2.400","27.200","0.880","987.800","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.300",""
"C0U990","2019-08-14 00:00:00","31.000","238.000","0.600","26.800","0.900","1000.700","-99.000","10.000","-99.000","-99.000","-99.000","32.000","","25.800",""
"C0M700","2019-08-14 00:00:00","150.000","0.000","0.000","25.800","0.920","987.900","-99.000","48.500","-99.000","-99.000","-99.000","30.000","","23.200",""
"C0A970","2019-08-14 00:00:00","96.000","218.000","1.800","27.700","0.870","993.000","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","27.000",""
"CM0110","2019-08-14 00:00:00","7.000","203.000","0.500","27.500","0.820","1003.100","-99.000","108.000","-99.000","-99.000","-99.000","28.600","","24.200",""
"C0S940","2019-08-14 00:00:00","150.000","0.000","0.100","26.900","0.900","986.600","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","26.200",""
"C0X250","2019-08-14 00:00:00","33.000","159.000","1.500","27.400","0.870","1000.300","-99.000","92.500","-99.000","-99.000","-99.000","29.600","","24.000",""
"C0K520","2019-08-14 00:00:00","10.000","159.000","1.700","26.800","0.900","1001.600","-99.000","109.500","-99.000","-99.000","-99.000","28.100","","24.300",""
"C0Z200","2019-08-14 00:00:00","153.000","202.000","0.700","26.100","0.990","987.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","24.900",""
"C0V740","2019-08-14 00:00:00","60.000","16.000","2.100","25.200","0.980","998.700","-99.000","146.500","-99.000","-99.000","-99.000","28.800","","24.300",""
"C0V790","2019-08-14 00:00:00","410.000","39.000","3.400","23.500","0.960","959.000","-99.000","19.500","-99.000","-99.000","-99.000","28.400","","23.000",""
"C0G860","2019-08-14 00:00:00","45.000","153.000","1.100","28.800","0.760","997.300","-99.000","53.000","-99.000","-99.000","-99.000","30.800","","24.300",""
"C0R130","2019-08-14 00:00:00","1040.000","101.000","1.900","21.000","0.970","891.700","-99.000","45.000","-99.000","-99.000","-99.000","26.300","","19.700",""
"C0AH30","2019-08-14 00:00:00","755.000","254.000","2.900","23.300","0.950","920.400","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","22.800",""
"C0K291","2019-08-14 00:00:00","8.000","151.000","1.200","27.500","0.890","1003.200","-99.000","103.500","-99.000","-99.000","-99.000","29.500","","24.100",""
"C0D480","2019-08-14 00:00:00","223.000","0.000","0.000","24.200","0.960","977.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","23.700",""
"C0F0C0","2019-08-14 00:00:00","983.000","186.000","1.000","20.700","0.990","897.900","-99.000","11.500","-99.000","-99.000","-99.000","26.100","","19.900",""
"C0U860","2019-08-14 00:00:00","5.000","0.000","0.000","28.400","0.750","1002.400","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","26.500",""
"C0UA50","2019-08-14 00:00:00","808.000","149.000","1.900","23.400","0.990","915.800","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","22.200",""
"C0T960","2019-08-14 00:00:00","120.000","0.000","0.100","25.400","0.990","990.100","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","25.000",""
"C0SA80","2019-08-14 00:00:00","136.000","246.000","0.500","24.600","0.950","988.800","-99.000","12.000","-99.000","-99.000","-99.000","31.100","","24.200",""
"C0E780","2019-08-14 00:00:00","160.000","223.000","1.200","27.500","0.850","985.200","-99.000","5.500","-99.000","-99.000","-99.000","30.800","","25.000",""
"C0F9Q0","2019-08-14 00:00:00","149.000","181.000","1.500","27.900","0.870","985.900","-99.000","22.000","-99.000","-99.000","-99.000","30.900","","25.100",""
"C0F9X0","2019-08-14 00:00:00","166.000","209.000","3.400","26.900","0.910","985.700","-99.000","38.500","-99.000","-99.000","-99.000","29.100","","23.800",""
"C0F0D0","2019-08-14 00:00:00","3171.000","139.000","0.500","9.000","0.800","696.000","-99.000","0.500","-99.000","-99.000","-99.000","13.600","","7.300",""
"C0S730","2019-08-14 00:00:00","110.000","241.000","2.900","27.100","0.960","991.600","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.500",""
"C0T790","2019-08-14 00:00:00","2830.000","293.000","0.900","9.700","0.960","724.900","-99.000","5.500","-99.000","-99.000","-99.000","16.200","","9.600",""
"C0M830","2019-08-14 00:00:00","540.000","348.000","0.300","22.900","0.990","947.100","-99.000","26.500","-99.000","-99.000","-99.000","28.900","","22.100",""
"C0V750","2019-08-14 00:00:00","50.000","87.000","1.600","27.500","1.000","999.600","-99.000","152.000","-99.000","-99.000","-99.000","29.700","","24.500",""
"C0K530","2019-08-14 00:00:00","12.000","170.000","1.400","27.300","0.920","1002.300","-99.000","85.500","-99.000","-99.000","-99.000","28.200","","24.100",""
"C0G850","2019-08-14 00:00:00","62.000","168.000","1.700","29.600","0.770","996.000","-99.000","56.500","-99.000","-99.000","-99.000","31.300","","24.900",""
"C0M780","2019-08-14 00:00:00","30.000","178.000","0.900","26.800","0.880","1000.900","-99.000","104.000","-99.000","-99.000","-99.000","29.500","","23.700",""
"C0V360","2019-08-14 00:00:00","94.000","223.000","1.300","24.800","0.980","993.900","-99.000","55.500","-99.000","-99.000","-99.000","28.400","","24.000",""
"C0K510","2019-08-14 00:00:00","10.000","170.000","1.700","27.200","0.880","1001.900","-99.000","98.500","-99.000","-99.000","-99.000","29.200","","24.000",""
"C0R380","2019-08-14 00:00:00","2.000","53.000","1.400","26.000","-99.000","1004.300","-99.000","147.500","-99.000","-99.000","-99.000","31.300","","24.400",""
"C0D650","2019-08-14 00:00:00","97.000","225.000","2.100","28.100","0.820","992.200","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.800",""
"C0V630","2019-08-14 00:00:00","19.000","82.000","1.200","26.800","0.900","1004.100","-99.000","225.500","-99.000","-99.000","-99.000","29.100","","23.800",""
